age,annual_income,employment_years,total_debt,debt_to_income,num_credit_lines,late_payments_2yr,credit_utilization,credit_history_length,recent_inquiries,loan_amount,home_ownership,savings_balance,creditworthy
64,52940.08,2.6,21228.97,0.401,5,5,0.336,0.0,1,15151.61,2,5305.42,0
68,71914.54,1.3,26104.98,0.363,2,0,0.191,4.2,1,12822.84,1,744.15,1
61,20766.64,3.8,13477.55,0.649,5,2,0.158,8.4,0,14082.26,1,7421.94,1
69,56524.78,1.1,23570.83,0.417,4,1,0.036,13.5,0,29574.53,2,9087.95,1
20,73509.69,3.6,23082.04,0.314,9,0,0.139,10.9,3,17837.54,0,3674.08,1
54,42837.93,0.9,9767.05,0.228,6,1,0.285,1.9,2,10997.64,0,11159.18,0
68,85261.85,5.6,39561.5,0.464,7,3,0.475,9.1,1,5652.08,0,4881.45,0
24,67547.97,7.0,33638.89,0.498,2,0,0.186,12.1,0,3798.82,0,12805.02,1
38,143013.11,0.6,51198.69,0.358,5,2,0.232,3.5,0,3443.8,1,3439.26,1
26,33681.32,3.2,8959.23,0.266,5,0,0.181,4.4,0,17462.36,0,11296.78,1
56,74262.02,0.4,40844.11,0.55,2,2,0.273,5.2,2,7081.6,2,4092.6,1
35,29476.19,4.6,6396.33,0.217,2,0,0.504,4.5,0,10379.18,0,35208.44,1
21,21857.88,1.5,14098.33,0.645,3,1,0.406,6.9,2,5586.9,0,1992.38,0
42,17716.2,3.7,4251.89,0.24,4,4,0.374,7.9,0,37171.81,1,2665.74,1
31,64161.72,3.6,10137.55,0.158,3,1,0.345,7.9,0,3369.35,2,1345.3,1
67,53751.34,12.9,9513.99,0.177,1,2,0.475,10.3,2,10755.64,1,1872.54,1
26,38579.43,4.0,7098.62,0.184,3,1,0.118,6.3,0,7981.16,0,1601.01,1
43,20196.16,4.4,6361.79,0.315,4,2,0.338,2.8,0,10006.65,0,35288.74,1
19,34710.82,2.6,9719.03,0.28,7,2,0.17,3.3,4,8165.15,2,36704.66,0
37,49121.23,14.9,24757.1,0.504,5,1,0.128,10.5,0,5797.34,0,2585.67,1
45,72881.1,7.5,35128.69,0.482,0,0,0.285,4.2,0,5060.12,0,16434.38,1
64,48617.17,1.7,15363.03,0.316,3,0,0.234,9.9,0,33828.67,0,2457.27,1
24,55605.1,9.3,45373.76,0.816,9,0,0.126,10.4,0,8277.33,1,5014.55,1
61,40616.67,2.8,12753.63,0.314,2,2,0.358,13.2,2,12153.02,2,18829.73,1
25,117549.18,8.8,39261.43,0.334,4,0,0.419,3.4,1,3803.27,1,2254.48,1
64,29462.55,8.7,4655.08,0.158,6,0,0.158,3.8,1,2778.92,0,897.98,1
52,34557.53,1.0,11680.45,0.338,5,1,0.36,12.3,0,6594.65,0,5248.7,0
31,38323.59,6.0,15137.82,0.395,3,1,0.251,0.0,2,16711.37,1,1131.1,0
34,64302.4,1.7,11060.01,0.172,1,0,0.145,11.1,0,10066.73,1,3113.13,1
53,29160.49,1.8,8019.13,0.275,1,0,0.14,13.3,1,7158.41,0,4419.83,1
67,52462.78,1.8,20932.65,0.399,2,0,0.403,0.0,0,12808.81,0,6752.29,0
57,53234.13,6.5,14426.45,0.271,5,1,0.139,8.7,2,7113.86,1,6849.63,1
21,34641.96,1.3,8314.07,0.24,6,0,0.311,5.5,0,22606.0,2,4310.45,1
19,57814.2,0.0,26999.23,0.467,2,1,0.166,15.5,3,23168.14,1,8365.78,1
23,29616.68,6.3,4679.44,0.158,3,1,0.307,16.5,1,6999.86,0,19432.05,1
59,28042.12,0.9,5243.88,0.187,2,2,0.241,20.2,0,6210.36,0,8297.11,0
21,51523.99,0.6,19424.54,0.377,2,1,0.124,15.4,3,9471.57,1,10605.79,0
46,21378.1,1.4,10197.35,0.477,5,2,0.185,15.3,2,12784.7,1,1026.2,0
35,16774.22,2.4,6642.59,0.396,2,2,0.211,21.3,0,8397.76,2,3920.86,0
43,63985.81,3.2,20219.52,0.316,3,1,0.257,8.7,0,18538.24,2,4938.59,1
61,82824.98,0.2,25178.79,0.304,6,0,0.532,11.2,1,11606.44,0,48764.68,1
51,38816.41,17.6,19485.84,0.502,5,2,0.103,15.9,0,19014.68,0,215.19,1
27,35100.29,6.3,16813.04,0.479,6,1,0.6,7.6,1,5047.58,0,8690.58,0
53,81045.63,2.0,28933.29,0.357,1,3,0.498,4.2,1,6935.62,1,5803.73,0
31,27645.85,1.9,8514.92,0.308,1,1,0.361,5.0,3,13628.21,0,7247.62,0
48,24792.93,3.0,8801.49,0.355,7,0,0.066,6.5,1,10216.4,0,584.09,1
65,69829.95,4.9,16829.02,0.241,8,1,0.099,7.8,0,8843.24,1,3794.98,1
32,49242.83,0.8,16102.41,0.327,1,2,0.268,4.7,1,7248.34,0,28421.51,0
25,83486.35,1.0,23125.72,0.277,4,3,0.195,0.0,0,10425.82,2,751.6,1
31,16812.32,9.8,5632.13,0.335,5,0,0.155,14.3,0,23317.23,0,7068.21,1
40,24334.81,1.5,6862.42,0.282,3,1,0.285,19.5,0,2964.7,0,1483.5,1
57,49373.35,2.4,21181.17,0.429,3,0,0.107,0.8,0,9034.6,1,22409.55,1
38,60405.59,10.3,28571.84,0.473,2,2,0.318,1.9,0,9273.61,1,8184.32,1
33,74869.25,5.4,21936.69,0.293,3,1,0.612,4.7,1,5154.04,0,5281.96,0
62,53498.5,2.1,12197.66,0.228,4,0,0.274,1.8,0,9012.83,1,1224.19,1
35,53227.35,5.8,24324.9,0.457,6,0,0.627,5.8,0,3700.94,0,2507.35,0
64,40348.09,0.1,15251.58,0.378,1,0,0.053,8.0,2,6970.85,1,1935.34,1
41,108602.8,6.7,32037.83,0.295,3,3,0.275,10.6,1,8424.59,1,1044.56,1
43,28239.82,3.3,15701.34,0.556,3,0,0.226,6.3,0,9866.33,0,2490.2,0
42,58659.81,8.4,15544.85,0.265,5,2,0.373,15.4,1,30488.35,1,287.77,0
62,29914.41,15.5,1525.63,0.051,8,2,0.192,3.1,1,6065.07,1,7118.54,1
58,64048.08,13.0,15627.73,0.244,3,0,0.237,5.1,0,4470.53,1,1813.21,1
46,29187.37,12.0,17308.11,0.593,4,3,0.227,19.7,1,17948.71,1,1280.28,0
32,71104.64,3.6,21473.6,0.302,3,1,0.297,9.2,2,680.09,0,533.3,1
62,51847.01,2.2,14154.23,0.273,4,0,0.117,10.3,3,6826.52,0,4928.27,1
18,117280.01,3.1,41517.12,0.354,5,0,0.192,3.9,0,8140.42,0,30191.13,1
42,42594.92,5.9,21382.65,0.502,2,2,0.314,8.9,1,5626.69,2,2076.65,1
24,60626.24,10.8,20491.67,0.338,2,1,0.192,8.3,0,9349.38,0,15519.32,1
26,33195.57,1.2,14572.86,0.439,2,0,0.844,8.5,0,6706.89,0,5976.61,0
41,42448.78,12.5,13668.51,0.322,6,3,0.143,9.8,0,3481.18,1,2465.01,1
18,51682.51,8.4,22740.3,0.44,5,1,0.216,14.5,1,14340.73,2,30834.16,1
61,22842.77,19.3,8611.72,0.377,4,1,0.092,1.7,1,14677.84,0,375.53,0
25,24129.44,10.6,6997.54,0.29,3,2,0.175,11.0,2,5472.73,1,3545.1,0
41,66166.51,1.6,25738.77,0.389,7,1,0.214,9.3,0,7152.95,1,1951.44,1
28,45567.8,0.6,12257.74,0.269,3,1,0.201,11.5,2,30140.69,2,4367.62,1
68,36444.17,0.6,5211.52,0.143,3,1,0.332,12.9,1,12952.93,2,744.32,1
34,33911.41,1.7,11767.26,0.347,4,1,0.519,7.0,0,9898.32,1,7834.18,0
25,34570.49,4.8,5427.57,0.157,5,0,0.487,7.0,1,26120.44,1,422.93,0
52,51858.56,8.2,22817.77,0.44,7,3,0.681,11.2,0,3740.63,2,6456.53,1
52,61237.68,11.5,21065.76,0.344,4,3,0.596,4.0,1,2922.68,1,1629.23,1
50,17222.06,4.9,9696.02,0.563,2,2,0.683,7.2,3,10939.59,0,5189.13,0
22,99351.27,0.0,29805.38,0.3,8,1,0.116,8.5,1,16384.0,2,1278.4,1
59,95879.78,1.0,33270.28,0.347,5,1,0.328,13.2,0,3546.02,2,1072.62,1
56,15285.69,0.5,1987.14,0.13,2,0,0.223,8.7,4,4537.99,2,20048.67,1
58,84369.68,2.3,15524.02,0.184,8,2,0.15,8.9,1,15928.08,0,22989.31,1
45,83084.17,3.5,8142.25,0.098,4,1,0.135,6.9,1,4957.38,0,754.96,1
24,49031.72,0.2,25104.24,0.512,3,0,0.312,9.5,2,8487.0,1,3607.81,0
26,25627.36,2.1,7201.29,0.281,4,1,0.244,8.9,3,11225.4,1,7543.94,0
25,81439.37,1.0,44710.21,0.549,5,2,0.323,4.8,3,17551.87,0,2753.87,0
29,43450.8,5.2,0.0,0.0,3,0,0.37,11.1,0,8234.91,1,2867.89,1
51,64501.22,3.1,37539.71,0.582,6,2,0.144,1.4,1,13298.93,0,7096.49,1
50,148687.29,3.4,50553.68,0.34,4,0,0.123,8.5,1,4704.54,1,5744.3,1
65,55598.88,2.8,22295.15,0.401,1,1,0.388,16.9,1,14091.45,1,1739.24,0
40,30994.27,15.6,5919.91,0.191,3,1,0.265,0.8,2,5737.3,1,5608.17,0
41,41445.5,1.2,17780.12,0.429,5,2,0.492,3.1,2,4322.59,1,2172.09,0
54,33033.49,3.6,9711.85,0.294,5,1,0.14,14.0,0,34170.45,1,1946.68,1
52,60885.17,6.7,10411.36,0.171,7,0,0.383,12.1,1,29673.11,2,1231.66,1
61,32760.09,4.1,5536.46,0.169,2,0,0.283,3.1,1,10817.03,1,1236.1,0
57,38699.2,13.2,6424.07,0.166,1,0,0.213,2.0,2,25041.11,0,4066.48,0
39,25791.1,2.4,10496.98,0.407,4,2,0.213,0.0,0,8140.02,1,475.24,1
44,45887.89,3.1,11701.41,0.255,4,5,0.411,0.0,1,9121.49,0,459.47,0
52,53550.34,0.5,5569.24,0.104,6,1,0.162,6.9,1,8902.42,1,2436.79,1
18,12805.19,4.7,5186.1,0.405,4,0,0.595,13.9,1,5721.39,2,2994.57,1
52,55814.38,1.7,1339.55,0.024,2,1,0.192,13.3,0,2424.86,1,846.11,1
54,47913.37,0.9,26304.44,0.549,5,1,0.392,12.0,2,8220.8,2,24381.18,1
64,33439.86,3.9,21669.03,0.648,5,0,0.498,0.9,1,21621.52,0,1218.26,0
31,135173.51,3.8,20681.55,0.153,2,0,0.272,15.0,1,11678.35,0,1358.81,1
20,79160.94,0.4,40213.76,0.508,7,1,0.128,11.2,0,16134.55,0,1229.77,1
18,28333.46,6.0,11390.05,0.402,1,1,0.08,0.7,0,12529.72,0,9316.81,0
22,74542.03,4.9,20499.06,0.275,3,1,0.15,1.8,1,5955.46,0,22816.35,1
43,91331.32,1.0,25755.43,0.282,4,2,0.276,12.0,1,11486.59,0,935.27,1
31,52365.88,3.2,23459.91,0.448,2,0,0.152,12.4,1,8108.0,0,8172.95,1
56,58730.89,6.4,20203.43,0.344,3,3,0.648,6.0,1,5231.6,1,4102.29,1
44,58056.58,3.8,0.0,0.0,5,1,0.165,5.5,1,17184.06,2,1194.12,0
26,17276.32,2.5,11419.65,0.661,7,2,0.653,10.4,2,4522.54,1,4089.13,0
32,44648.02,1.9,18528.93,0.415,4,1,0.263,8.9,1,6664.77,0,612.16,0
32,43501.19,4.7,14877.41,0.342,1,1,0.545,11.1,1,37428.47,0,2207.8,0
43,100215.47,14.0,24252.14,0.242,6,1,0.154,0.8,0,15076.6,0,896.36,1
59,57922.66,5.6,18651.1,0.322,4,0,0.205,7.9,1,11464.78,0,1991.58,1
30,42243.02,0.4,22811.23,0.54,2,0,0.386,9.8,2,2686.3,2,3237.62,0
68,46860.84,3.1,18228.87,0.389,3,0,0.159,9.0,0,9221.14,1,17922.21,1
49,81772.21,11.1,33199.52,0.406,2,0,0.248,8.2,0,4921.04,1,3177.43,1
56,44699.06,0.5,7285.95,0.163,4,0,0.218,4.3,0,9444.78,1,902.64,1
66,34575.56,22.5,10303.52,0.298,3,2,0.127,9.7,2,8828.92,1,3040.55,0
69,42708.31,14.9,15289.57,0.358,3,2,0.341,0.0,1,5919.52,2,247.5,1
49,78460.3,0.4,35620.98,0.454,7,2,0.217,9.2,0,19999.66,0,8317.17,1
21,62823.37,13.5,18093.13,0.288,6,1,0.134,15.4,1,17551.98,0,1126.54,1
47,50117.92,2.3,24507.66,0.489,2,0,0.36,9.1,0,5036.27,0,29142.0,1
54,53947.66,9.3,9602.68,0.178,4,0,0.089,3.4,2,25449.29,2,8927.81,1
40,37053.9,2.7,13339.4,0.36,2,2,0.053,6.4,0,4965.26,0,3393.26,1
56,44490.25,2.9,14904.23,0.335,5,1,0.479,3.9,2,26864.0,0,2085.78,0
62,35184.04,5.0,4327.64,0.123,1,1,0.159,9.0,0,8720.78,2,1779.55,1
32,42302.88,7.4,14509.89,0.343,3,1,0.539,8.1,1,7783.08,1,1925.98,1
60,96094.67,0.2,25272.9,0.263,4,3,0.348,3.3,1,24183.18,1,2956.13,0
46,28597.2,4.5,16071.63,0.562,2,1,0.429,13.4,1,8968.76,2,1834.6,0
53,34739.8,1.0,10005.06,0.288,0,2,0.161,6.4,2,19121.35,2,5808.04,0
30,26182.61,2.1,10551.59,0.403,5,1,0.345,10.2,0,4533.85,2,17379.73,1
49,23495.06,2.1,3876.68,0.165,11,1,0.164,15.8,1,10067.77,2,3373.66,1
24,44650.2,3.2,17190.33,0.385,3,0,0.431,1.9,2,13157.19,2,11234.65,1
68,35997.16,2.0,10367.18,0.288,4,0,0.135,15.8,1,20289.12,0,609.05,1
39,118284.08,0.6,27678.47,0.234,4,0,0.264,4.9,2,15176.1,1,4572.59,1
45,42556.03,0.8,32980.92,0.775,0,1,0.088,14.6,4,10167.56,1,3303.92,0
19,93404.84,0.2,27741.24,0.297,2,0,0.31,14.0,0,13150.03,1,559.05,1
59,79539.04,3.2,25293.41,0.318,8,0,0.126,4.9,1,6395.53,2,2194.38,1
62,44157.71,15.4,21416.49,0.485,3,3,0.17,7.4,0,14220.5,0,8323.2,1
23,140796.07,0.6,33087.08,0.235,1,1,0.207,0.0,3,13181.95,1,118.07,1
45,56065.0,14.6,22986.65,0.41,5,3,0.085,6.3,1,6207.03,0,2345.37,0
45,104454.27,6.6,44601.97,0.427,4,0,0.308,3.0,0,10655.24,1,1731.06,1
61,98547.94,5.1,38138.05,0.387,5,2,0.575,4.3,2,15720.34,1,4117.57,1
61,60314.27,5.2,41858.1,0.694,3,0,0.211,8.3,1,42886.29,0,8843.44,0
37,71365.18,8.8,16342.63,0.229,4,3,0.512,10.1,2,20157.02,2,6896.39,0
47,66972.39,0.6,38910.96,0.581,5,1,0.292,4.8,1,11327.68,2,9566.99,1
28,27663.5,3.5,11646.33,0.421,5,2,0.316,8.2,0,11740.16,2,12295.92,1
45,50445.32,6.0,24516.43,0.486,4,0,0.203,5.6,0,9070.85,0,1927.42,1
42,83878.42,4.4,33635.25,0.401,3,0,0.305,10.2,1,10581.21,2,161.92,1
56,105144.74,8.9,66451.48,0.632,2,2,0.384,6.8,1,15768.72,2,6680.11,1
50,34189.72,0.4,10325.3,0.302,6,1,0.498,2.5,2,15536.25,2,889.27,0
18,63857.9,5.9,27139.61,0.425,6,2,0.495,4.4,0,9403.85,0,4183.13,0
44,52861.74,3.8,28862.51,0.546,9,3,0.663,6.6,0,5117.35,1,544.27,0
69,46215.15,2.4,12293.23,0.266,2,1,0.49,11.2,1,8704.36,2,1224.91,1
30,58571.37,2.1,29285.68,0.5,4,2,0.108,15.6,0,5994.08,1,5979.18,1
58,54666.08,4.8,18969.13,0.347,3,2,0.544,4.8,2,4772.62,2,1749.67,0
20,64260.72,11.1,10603.02,0.165,6,0,0.359,0.0,1,14258.03,1,402.05,1
56,100796.45,3.4,13305.13,0.132,8,0,0.305,14.3,1,12176.78,0,586.75,1
23,72552.36,8.7,24377.59,0.336,1,1,0.137,10.8,1,5702.61,2,11534.22,1
25,57256.45,2.6,28570.97,0.499,5,0,0.12,9.5,1,8145.89,1,1951.28,1
44,124531.32,0.5,4732.19,0.038,2,1,0.357,1.4,0,11897.22,0,2005.42,1
26,85388.34,0.3,32447.57,0.38,3,1,0.585,7.6,3,11551.23,1,1432.09,1
54,46807.6,0.3,22654.88,0.484,1,1,0.458,11.5,2,12881.9,1,481.35,0
50,26673.87,2.4,4214.47,0.158,3,3,0.419,0.9,1,6264.61,1,2161.81,0
68,29914.08,2.1,7628.09,0.255,8,1,0.16,12.6,2,12268.89,1,13152.78,1
59,78168.05,6.3,34081.27,0.436,5,3,0.44,10.1,1,9618.14,0,1171.75,1
61,35769.25,6.8,17061.93,0.477,4,0,0.442,14.1,0,15726.89,2,309.2,0
41,29613.1,0.3,17501.34,0.591,9,4,0.347,12.0,1,18861.99,1,7549.0,0
32,33555.54,1.2,8791.55,0.262,3,1,0.143,0.0,1,60933.46,1,3297.77,1
49,34762.96,1.6,7925.95,0.228,2,1,0.071,3.0,0,21715.52,1,3743.97,1
49,75006.03,4.0,44853.61,0.598,7,0,0.183,11.4,1,10674.51,1,4694.87,1
41,45325.68,0.8,10742.19,0.237,1,0,0.141,1.9,4,9675.25,1,367.43,1
58,24681.59,0.7,10514.36,0.426,2,4,0.353,4.1,3,5644.48,0,2601.81,0
69,49787.66,14.4,33706.25,0.677,0,1,0.141,7.2,1,5729.05,1,3986.99,1
66,54782.88,8.2,25364.47,0.463,2,3,0.063,5.5,0,11648.49,1,2831.17,1
66,38573.92,1.0,18014.02,0.467,6,2,0.123,0.0,2,11867.2,2,2806.76,0
69,87373.08,2.6,47356.21,0.542,2,0,0.406,10.2,0,49306.52,2,11950.08,1
29,39716.84,2.2,17038.52,0.429,5,1,0.236,6.9,1,6395.67,2,5053.83,1
56,85320.4,7.8,39929.95,0.468,7,0,0.382,9.2,1,6008.97,0,6336.56,1
19,66064.8,3.6,19753.38,0.299,5,1,0.515,7.0,1,11499.44,0,2469.35,0
20,77909.47,0.7,40824.56,0.524,4,0,0.366,0.0,0,7315.33,1,138.23,1
66,28303.04,6.7,11660.85,0.412,2,1,0.215,4.8,3,12500.83,0,2016.97,0
54,51490.63,2.5,6590.8,0.128,4,2,0.315,3.4,2,7448.52,2,2894.76,0
66,47742.92,1.5,18428.77,0.386,4,1,0.023,8.1,1,8339.56,1,2362.18,1
34,24076.63,2.4,601.92,0.025,5,0,0.386,11.3,2,12806.83,1,2724.08,0
66,85180.72,3.4,38927.59,0.457,4,1,0.279,6.0,4,7043.35,0,3851.66,1
19,32574.97,2.1,10261.12,0.315,2,2,0.293,11.1,0,7972.0,1,9318.27,0
19,36142.19,1.4,22986.43,0.636,7,2,0.168,14.9,0,13591.2,0,1065.38,0
45,29535.32,2.5,12493.44,0.423,5,4,0.263,10.9,0,10177.45,0,2329.63,0
40,69605.1,0.1,34036.89,0.489,6,1,0.331,17.4,1,6742.28,1,18854.72,1
54,22857.51,7.4,4411.5,0.193,1,1,0.269,2.1,0,7411.83,2,426.07,1
49,66765.21,0.9,30244.64,0.453,2,0,0.319,13.3,0,18498.52,0,2137.55,1
50,82640.65,0.2,20990.73,0.254,5,0,0.277,5.6,0,11922.62,2,217.32,1
18,64124.98,5.3,32960.24,0.514,5,1,0.681,9.6,0,7967.3,0,2186.99,0
36,70004.46,7.4,12740.81,0.182,6,1,0.167,0.4,0,16639.34,1,3368.17,1
19,71666.11,8.4,26229.8,0.366,4,2,0.347,17.6,2,12857.85,1,336.84,0
61,30494.08,3.4,5366.96,0.176,3,0,0.434,4.4,2,22312.86,0,3834.18,1
43,100445.19,1.1,37064.28,0.369,2,3,0.172,12.2,2,16839.5,1,1321.35,1
49,38947.19,6.7,25432.52,0.653,4,1,0.259,17.0,0,19928.07,1,10891.95,1
23,47420.32,6.0,21718.51,0.458,5,0,0.382,7.8,1,8069.76,1,5272.27,0
49,41509.66,1.4,14320.83,0.345,1,2,0.106,14.3,0,5806.11,1,1555.34,1
21,62678.33,11.7,0.0,0.0,9,1,0.384,1.8,2,15726.52,2,2322.31,1
28,37458.22,0.6,10113.72,0.27,5,0,0.098,12.5,2,15816.24,1,19158.34,1
34,50688.68,20.3,21339.93,0.421,8,1,0.676,8.7,0,9294.57,0,2595.95,1
55,26431.93,9.8,7215.92,0.273,6,2,0.156,6.9,1,5291.93,2,592.99,1
41,87757.5,5.8,49495.23,0.564,3,3,0.162,4.8,1,11898.56,1,757.0,1
22,68553.55,14.0,24747.83,0.361,6,1,0.211,0.9,1,12494.78,0,2378.37,0
69,42356.2,6.4,21686.37,0.512,5,1,0.517,8.7,0,4382.42,1,11497.56,1
51,38770.91,1.1,14771.72,0.381,6,2,0.444,5.9,1,12389.0,0,1655.5,0
23,67664.31,2.9,20908.27,0.309,10,1,0.253,11.1,0,19739.67,2,801.62,1
39,34418.63,0.4,9602.8,0.279,1,3,0.118,9.5,0,4499.35,1,3013.12,0
28,52191.9,2.5,10334.0,0.198,6,1,0.235,9.6,1,13595.63,0,4415.88,1
65,87614.29,6.8,45033.75,0.514,3,1,0.54,11.1,1,21724.77,1,5537.28,0
33,32675.19,2.4,9345.1,0.286,4,0,0.167,2.7,0,22555.01,0,387.1,0
50,58941.48,2.0,25226.95,0.428,7,0,0.239,0.5,3,3214.28,0,4355.0,0
26,57403.62,4.5,15556.38,0.271,6,2,0.165,3.2,1,19007.37,0,4073.2,0
23,46692.16,10.3,8778.13,0.188,3,1,0.295,6.5,0,8199.84,1,1757.14,1
33,38105.17,0.2,16499.54,0.433,5,2,0.069,3.2,1,7648.19,0,11651.74,0
46,89985.02,2.4,21416.43,0.238,5,0,0.609,1.8,0,44685.88,0,5130.04,0
20,36359.68,0.9,10544.31,0.29,7,1,0.527,0.4,2,11293.02,0,1065.8,0
37,19810.76,5.9,3229.15,0.163,3,1,0.235,7.2,0,7866.02,0,5234.3,1
53,67525.92,0.6,18637.15,0.276,5,1,0.05,6.7,1,15987.03,1,309.55,0
36,26885.66,5.5,9517.52,0.354,5,1,0.222,7.9,1,27211.4,1,1680.67,0
43,69282.01,1.7,21269.58,0.307,6,2,0.086,11.9,2,10981.71,0,1823.9,1
20,95554.46,1.1,45197.26,0.473,6,0,0.173,8.0,0,7185.33,0,6589.95,0
36,67162.81,13.8,24984.57,0.372,2,1,0.069,10.7,2,10454.03,0,114426.4,1
37,83759.56,0.1,68096.52,0.813,3,0,0.148,11.1,2,19044.14,2,2096.47,1
49,134594.87,2.9,55722.28,0.414,5,1,0.159,1.9,2,8212.89,0,17290.8,1
24,79489.5,0.1,7154.05,0.09,8,0,0.085,18.1,0,19055.07,2,15205.02,1
69,57831.37,3.3,18390.38,0.318,4,1,0.109,3.8,1,9097.5,2,604.4,1
58,110965.44,3.5,36729.56,0.331,4,1,0.219,7.4,0,3252.67,2,14867.83,1
50,117875.91,1.9,30411.98,0.258,3,2,0.365,5.0,1,24635.6,1,1279.58,1
57,118703.72,0.7,42852.04,0.361,4,0,0.39,7.4,1,12102.62,0,3014.0,1
56,38327.7,2.4,9696.91,0.253,4,0,0.408,14.3,0,18627.39,0,46904.2,1
35,24909.16,5.6,9963.66,0.4,7,1,0.581,13.6,2,11865.42,1,5541.72,1
57,37175.45,7.6,2379.23,0.064,7,1,0.209,5.7,1,10120.46,0,1378.14,1
18,69690.61,3.8,36378.5,0.522,4,0,0.598,0.9,1,15400.19,2,5087.64,0
28,53081.27,4.5,5998.18,0.113,3,3,0.427,17.5,0,9023.78,1,475.74,0
45,44212.35,1.1,13705.83,0.31,2,1,0.157,15.2,2,29378.7,2,10662.71,0
42,64876.5,1.7,15570.36,0.24,3,0,0.252,0.0,0,9718.01,1,1376.99,0
67,23496.28,0.9,9304.53,0.396,5,1,0.095,8.9,4,29473.31,0,155.91,1
40,52605.96,1.4,16991.73,0.323,6,1,0.101,0.9,2,14225.46,0,1934.72,0
48,85753.21,1.3,33272.25,0.388,2,1,0.252,7.0,0,2371.56,0,1608.5,0
47,64515.31,3.7,33354.42,0.517,2,0,0.245,8.9,1,5464.68,0,5423.95,1
59,69279.54,4.1,32214.99,0.465,3,3,0.333,10.7,0,16478.26,1,746.9,1
52,108954.58,14.5,38678.88,0.355,1,0,0.02,0.0,2,5703.89,0,4529.48,1
24,47426.12,1.1,19871.54,0.419,3,3,0.126,15.9,3,4386.01,0,1317.22,0
